date,actual_lce_price,forecast_center,forecast_lower,forecast_upper,paper_center,paper_floor,paper_defensive,series_type,source_note
2026-01-16,172500.0,,,,182000.0,170000.0,175000.0,document_calibrated_history,历史段以五矿周报2026/05/22 MMLC=177725为锚点进行插值校准
2026-02-16,173800.0,,,,182000.0,170000.0,175000.0,document_calibrated_history,历史段以五矿周报2026/05/22 MMLC=177725为锚点进行插值校准
2026-03-16,175200.0,,,,182000.0,170000.0,175000.0,document_calibrated_history,历史段以五矿周报2026/05/22 MMLC=177725为锚点进行插值校准
2026-04-16,176500.0,,,,182000.0,170000.0,175000.0,document_calibrated_history,历史段以五矿周报2026/05/22 MMLC=177725为锚点进行插值校准
2026-05-22,177725.0,,,,182000.0,170000.0,175000.0,document_calibrated_history,历史段以五矿周报2026/05/22 MMLC=177725为锚点进行插值校准
2026-06-01,,177725.0,175000.0,210000.0,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-07-01,,184371.43,179793.21,210642.86,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-08-01,,191017.86,184586.43,211285.71,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-09-01,,197664.29,189379.64,211928.57,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-10-01,,204310.71,194172.86,212571.43,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-11-01,,210957.14,198966.07,213214.29,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2026-12-01,,217603.57,203759.29,213857.14,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
2027-01-01,,224250.0,208552.5,214500.0,182000.0,170000.0,175000.0,model_forecast,未来段结合五矿周报17.5-21万元短期区间与模型预测中枢
